ID,Experiment,Time,PPG,PPG_GDF
0,1,0,94,93
1,2,0.008,94,93
2,3,0.016,94,93
3,4,0.024,92,93
4,5,0.032,93,93
5,6,0.04,93,93
6,7,0.048,94,94
7,4,0.056,94,94
8,2,0.064,94,94
9,5,0.072,94,94
10,1,0.08,94,94
11,7,0.088,94,94
12,4,0.096,94,94
13,5,0.104,94,94
14,6,0.112,94,94
15,6,0.12,95,94
16,3,0.128,94,94
17,4,0.136,94,94
18,5,0.144,94,94
19,2,0.152,94,94
20,1,0.16,94,94
21,4,0.168,94,94
22,5,0.176,94,94
23,6,0.184,94,94
24,7,0.192,94,94
25,2,0.2,94,94
26,4,0.208,94,94
27,5,0.216,94,94
28,2,0.224,94,94
29,4,0.232,94,94
30,6,0.24,94,94
31,7,0.248,94,94
32,1,0.256,94,94
33,3,0.264,93,94
34,4,0.272,93,94
35,3,0.28,93,94
36,5,0.288,93,94
37,4,0.296,93,94
38,1,0.304,92,94
39,2,0.312,92,94
40,5,0.32,92,94
41,3,0.328,92,93
42,6,0.336,92,93
43,7,0.344,92,93
44,7,0.352,92,92
45,4,0.36,95,92
46,4,0.368,95,92
47,2,0.376,92,92
48,4,0.384,92,92
49,5,0.392,92,92
50,6,0.4,92,92
51,1,0.408,92,92
52,7,0.416,92,92
53,4,0.424,91,92
54,6,0.432,89,92
55,3,0.44,91,92
56,6,0.448,91,92
57,1,0.456,91,92
58,4,0.464,91,92
59,3,0.472,91,92
60,7,0.48,90,92
61,5,0.488,90,91
62,4,0.496,90,91
63,2,0.504,90,91
64,5,0.512,90,91
65,3,0.52,90,91
66,5,0.528,90,90
67,3,0.536,91,90
68,5,0.544,90,90
69,6,0.552,90,89
70,3,0.56,91,89
71,7,0.568,91,89
72,4,0.576,91,89
73,6,0.584,91,89
74,1,0.592,91,89
75,2,0.6,91,89
76,3,0.608,91,90
77,4,0.616,91,90
78,5,0.624,91,90
79,6,0.632,91,90
80,7,0.64,91,90
81,4,0.648,91,90
82,2,0.656,91,91
83,5,0.664,91,91
84,1,0.672,91,91
85,7,0.68,91,91
86,4,0.688,91,91
87,5,0.696,91,91
88,6,0.704,91,91
89,6,0.712,91,91
90,3,0.72,91,91
91,4,0.728,92,91
92,5,0.736,92,91
93,2,0.744,92,91
94,1,0.752,92,91
95,4,0.76,92,91
96,5,0.768,93,91
97,6,0.776,93,91
98,7,0.784,93,91
99,2,0.792,93,91
100,4,0.8,93,91
101,5,0.808,93,91
102,2,0.816,93,91
103,4,0.824,93,91
104,6,0.832,90,91
105,7,0.84,92,91
106,1,0.848,92,91
107,3,0.856,92,91
108,4,0.864,92,91
109,3,0.872,92,91
110,5,0.88,92,90
111,4,0.888,92,NaN
112,1,0.896,92,NaN
113,2,0.904,92,NaN
114,5,0.912,92,NaN
115,3,0.92,92,NaN
116,6,0.928,92,NaN
117,7,0.936,92,NaN
118,7,0.944,92,NaN
119,4,0.952,92,NaN
120,4,0.96,92,NaN
121,2,0.968,92,NaN
122,4,0.976,92,NaN
123,5,0.984,92,NaN
124,6,0.992,92,92
125,1,1,92,92
126,7,1.008,92,91
127,4,1.016,91,91
128,6,1.024,91,91
129,3,1.032,91,91
130,6,1.04,91,92
131,1,1.048,91,92
132,4,1.056,91,91
133,3,1.064,91,91
134,7,1.072,91,91
135,5,1.08,91,91
136,4,1.088,91,91
137,2,1.096,91,91
138,5,1.104,91,91
139,3,1.112,91,90
140,5,1.12,91,90
141,3,1.128,91,90
142,5,1.136,91,90
143,6,1.144,91,91
144,3,1.152,91,91
145,7,1.16,91,91
146,4,1.168,91,91
147,6,1.176,91,91
148,1,1.184,91,91
149,2,1.192,91,90
150,3,1.2,91,90
151,4,1.208,91,90
152,5,1.216,92,90
153,6,1.224,92,90
154,7,1.232,92,90
155,4,1.24,92,91
156,2,1.248,92,91
157,5,1.256,92,91
158,1,1.264,92,91
159,7,1.272,92,91
160,4,1.28,92,91
161,5,1.288,92,92
162,6,1.296,92,92
163,6,1.304,92,92
164,3,1.312,92,92
165,4,1.32,91,92
166,5,1.328,91,92
167,2,1.336,91,92
168,1,1.344,91,92
169,4,1.352,91,92
170,5,1.36,91,91
171,6,1.368,91,91
172,7,1.376,91,91
173,2,1.384,91,91
174,4,1.392,91,91
175,5,1.4,91,91
176,2,1.408,91,91
177,4,1.416,91,91
178,6,1.424,91,91
179,7,1.432,91,91
180,1,1.44,91,91
181,3,1.448,91,91
182,4,1.456,91,91
183,3,1.464,91,91
184,5,1.472,91,91
185,4,1.48,91,91
186,1,1.488,91,91
187,2,1.496,91,91
188,5,1.504,91,91
189,3,1.512,91,91
190,6,1.52,91,91
191,7,1.528,91,91
192,7,1.536,91,91
193,4,1.544,91,91
194,4,1.552,91,91
195,2,1.56,91,91
196,4,1.568,91,91
197,5,1.576,91,91
198,6,1.584,91,91
199,1,1.592,93,91
200,7,1.6,92,91
201,4,1.608,92,91
202,6,1.616,92,91
203,3,1.624,92,91
204,6,1.632,92,91
205,1,1.64,91,91
206,4,1.648,91,91
207,3,1.656,89,91
208,7,1.664,90,91
209,5,1.672,90,91
210,4,1.68,90,90
211,2,1.688,90,90
212,5,1.696,90,90
213,3,1.704,91,90
214,5,1.712,91,90
215,3,1.72,91,90
216,5,1.728,91,90
217,6,1.736,91,90
218,3,1.744,91,90
219,7,1.752,91,90
220,4,1.76,91,90
221,6,1.768,91,90
222,1,1.776,91,90
223,2,1.784,91,90
224,3,1.792,91,90
225,4,1.8,91,90
226,5,1.808,91,91
227,6,1.816,91,91
228,7,1.824,91,91
229,4,1.832,91,91
230,2,1.84,91,91
231,5,1.848,91,91
232,1,1.856,91,91
233,7,1.864,91,91
234,4,1.872,91,91
235,5,1.88,91,91
236,6,1.888,91,91
237,6,1.896,91,91
238,3,1.904,91,91
239,4,1.912,91,90
240,5,1.92,91,90
241,2,1.928,91,90
242,1,1.936,91,90
243,4,1.944,91,90
244,5,1.952,91,90
245,6,1.96,91,91
246,7,1.968,91,91
247,2,1.976,91,91
248,4,1.984,91,91
249,5,1.992,91,91
250,2,2,91,91
251,4,2.008,91,91
252,6,2.016,91,91
253,7,2.024,91,91
254,1,2.032,91,91
255,3,2.04,91,91
256,4,2.048,91,91
257,3,2.056,91,91
258,5,2.064,91,91
259,4,2.072,91,91
260,1,2.08,91,91
261,2,2.088,91,91
262,5,2.096,91,91
263,3,2.104,91,91
264,6,2.112,91,91
265,7,2.12,91,91
266,7,2.128,91,91
267,4,2.136,91,91
268,4,2.144,91,91
269,2,2.152,91,91
270,4,2.16,91,91
271,5,2.168,91,91
272,6,2.176,91,91
273,1,2.184,91,91
274,7,2.192,91,91
275,4,2.2,91,91
276,6,2.208,91,91
277,3,2.216,91,91
278,6,2.224,91,91
279,1,2.232,91,91
280,4,2.24,91,91
281,3,2.248,91,91
282,7,2.256,91,91
283,5,2.264,91,91
284,4,2.272,91,91
285,2,2.28,91,91
286,5,2.288,91,91
287,3,2.296,91,91
288,5,2.304,91,91
289,3,2.312,91,91
290,5,2.32,91,91
291,6,2.328,91,91
292,3,2.336,91,91
293,7,2.344,91,91
294,4,2.352,91,91
295,6,2.36,91,91
296,1,2.368,91,91
297,2,2.376,91,91
298,3,2.384,91,91
299,4,2.392,91,91
300,5,2.4,91,91
301,6,2.408,91,91
302,7,2.416,91,91
303,4,2.424,91,91
304,2,2.432,91,91
305,5,2.44,91,91
306,1,2.448,92,91
307,7,2.456,92,91
308,4,2.464,91,91
309,5,2.472,91,91
310,6,2.48,91,91
311,6,2.488,91,91
312,3,2.496,91,91
313,4,2.504,91,91
314,5,2.512,91,91
315,2,2.52,90,91
316,1,2.528,91,91
317,4,2.536,91,91
318,5,2.544,91,91
319,6,2.552,91,91
320,7,2.56,91,91
321,2,2.568,91,90
322,4,2.576,91,91
323,5,2.584,92,91
324,2,2.592,92,91
325,4,2.6,92,91
326,6,2.608,92,91
327,7,2.616,92,91
328,1,2.624,92,91
329,3,2.632,92,91
330,4,2.64,91,91
331,3,2.648,92,91
332,5,2.656,91,91
333,4,2.664,91,92
334,1,2.672,91,92
335,2,2.68,91,92
336,5,2.688,91,92
337,3,2.696,91,92
338,6,2.704,91,91
339,7,2.712,91,91
340,7,2.72,92,91
341,4,2.728,92,91
342,4,2.736,92,91
343,2,2.744,92,91
344,4,2.752,91,91
345,5,2.76,91,91
346,6,2.768,91,91
347,1,2.776,91,91
348,7,2.784,91,91
349,4,2.792,91,91
350,6,2.8,91,91
351,3,2.808,91,91
352,6,2.816,91,91
353,1,2.824,91,90
354,4,2.832,91,90
355,3,2.84,91,91
356,7,2.848,91,91
357,5,2.856,91,91
358,4,2.864,92,91
359,2,2.872,92,91
360,5,2.88,92,91
361,3,2.888,92,91
362,5,2.896,92,91
363,3,2.904,92,91
364,5,2.912,92,91
365,6,2.92,91,91
366,3,2.928,91,91
367,7,2.936,91,91
368,4,2.944,91,92
369,6,2.952,91,92
370,1,2.96,91,91
371,2,2.968,91,91
372,3,2.976,91,91
373,4,2.984,91,91
374,5,2.992,91,91
375,6,3,91,91
376,7,3.008,91,91
377,4,3.016,91,91
378,2,3.024,91,91
379,5,3.032,91,91
380,1,3.04,91,91
381,7,3.048,91,91
382,4,3.056,91,91
383,5,3.064,91,91
384,6,3.072,91,91
385,6,3.08,91,91
386,3,3.088,91,91
387,4,3.096,91,91
388,5,3.104,91,91
389,2,3.112,91,91
390,1,3.12,90,91
391,4,3.128,90,91
392,5,3.136,90,91
393,6,3.144,90,91
394,7,3.152,90,91
395,2,3.16,90,91
396,4,3.168,90,91
397,5,3.176,89,90
398,2,3.184,90,90
399,4,3.192,90,90
400,6,3.2,89,89
401,7,3.208,90,89
402,1,3.216,90,89
403,3,3.224,90,89
404,4,3.232,90,89
405,3,3.24,90,89
406,5,3.248,90,89
407,4,3.256,90,89
408,1,3.264,90,89
409,2,3.272,90,89
410,5,3.28,91,89
411,3,3.288,90,89
412,6,3.296,91,89
413,7,3.304,91,89
414,7,3.312,91,89
415,4,3.32,91,90
416,4,3.328,92,90
417,2,3.336,92,90
418,4,3.344,92,90
419,5,3.352,92,90
420,6,3.36,92,90
421,1,3.368,92,90
422,7,3.376,92,90
423,4,3.384,92,90
424,6,3.392,88,90
425,3,3.4,91,90
426,6,3.408,91,90
427,1,3.416,91,90
428,4,3.424,91,90
429,3,3.432,91,90
430,7,3.44,91,90
431,5,3.448,91,90
432,4,3.456,91,90
433,2,3.464,91,90
434,5,3.472,91,90
435,3,3.48,91,90
436,5,3.488,90,91
437,3,3.496,90,91
438,5,3.504,90,91
439,6,3.512,90,91
440,3,3.52,90,91
441,7,3.528,90,90
442,4,3.536,90,90
443,6,3.544,90,90
444,1,3.552,90,90
445,2,3.56,90,90
446,3,3.568,90,89
447,4,3.576,90,89
448,5,3.584,90,89
449,6,3.592,91,89
450,7,3.6,91,89
451,1,3.608,91,89
452,2,3.616,91,89
453,3,3.624,91,89
454,2,3.632,91,90
455,1,3.64,91,90
456,5,3.648,91,90
457,7,3.656,91,90
458,6,3.664,91,90
459,2,3.672,91,90
460,6,3.68,91,91
461,3,3.688,91,91
462,5,3.696,91,91
463,7,3.704,91,91
464,6,3.712,91,91
465,5,3.72,91,90
466,4,3.728,91,90
467,3,3.736,91,90
468,2,3.744,91,90
469,1,3.752,91,90
470,7,3.76,91,90
471,6,3.768,91,90
472,5,3.776,91,90
473,1,3.784,91,90
474,4,3.792,90,90
475,2,3.8,90,90
476,4,3.808,90,90
477,3,3.816,90,90
478,6,3.824,90,90
479,5,3.832,90,90
480,0,3.84,90,90
